id,activity_flow_submission_id,activity_scheduled_time,activity_start_time,activity_end_time,flag,secret_user_id,userId,source_user_subject_id,source_user_secret_id,source_user_nickname,source_user_relation,source_user_tag,target_user_subject_id,target_user_secret_id,target_user_nickname,target_user_tag,input_user_subject_id,input_user_secret_id,input_user_nickname,activity_id,activity_name,activity_flow_id,activity_flow_name,item,item_id,response,prompt,options,version,rawScore,reviewing_id,event_id,timezone_offset,legacy_user_id,Final SubScale Score,Optional text for Final SubScale Score,scale12,score_avg,sunscale_sum,score1,score2,score3,scale1,test_sum
0ca73162-a56e-4af7-80b9-17f2d72a1a19,,not scheduled,1733927671657,1733927682810,completed,[admin account] (86964315-bacb-4022-bd0a-b88f3fcfdce7),645e8cc0-a67a-c10f-93b4-50e000000000,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,,Team,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,Team,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,5672d4e1-e5bf-4222-8bef-f135acbf3f84,Scoring,,,Item1,ce9424bd-5fce-4926-96f2-63a2dec27dfe,value: 4,select,"1: 0 (score: 0), 2: 1 (score: 2), 3: 2 (score: 3), 4: 3 (score: 4), 5: 4 (score: 5)",8.1.8,14,,37b24982-d832-4a4b-9a95-e836f9f8bfaf,-480,,10,,10,50,60,,,,,
0ca73162-a56e-4af7-80b9-17f2d72a1a19,,not scheduled,1733927671657,1733927682810,completed,[admin account] (86964315-bacb-4022-bd0a-b88f3fcfdce7),645e8cc0-a67a-c10f-93b4-50e000000000,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,,Team,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,Team,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,5672d4e1-e5bf-4222-8bef-f135acbf3f84,Scoring,,,Item2_test,4285ee68-6905-4d9b-be4d-940f3a805027,value: 4,select,"1: 0 (score: 0), 2: 1 (score: 2), 3: 2 (score: 3), 4: 3 (score: 4), 5: 4 (score: 5)",8.1.8,14,,37b24982-d832-4a4b-9a95-e836f9f8bfaf,-480,,,,,,,,,,,
0ca73162-a56e-4af7-80b9-17f2d72a1a19,,not scheduled,1733927671657,1733927682810,completed,[admin account] (86964315-bacb-4022-bd0a-b88f3fcfdce7),645e8cc0-a67a-c10f-93b4-50e000000000,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,,Team,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,Team,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,5672d4e1-e5bf-4222-8bef-f135acbf3f84,Scoring,,,gender_screen,5d48d463-5fb7-48a6-8d77-a864e66efa6e,value: 0,"How do you describe yourself?<br><br>*Please provide your response as accurately as possible. The information you provide is important for ensuring the accuracy of your results. If you have any concerns about how your information will be used, please refer to our Terms of Service.*","Male: 0, Female: 1",8.1.8,,,37b24982-d832-4a4b-9a95-e836f9f8bfaf,-480,,,,,,,,,,,
0ca73162-a56e-4af7-80b9-17f2d72a1a19,,not scheduled,1733927671657,1733927682810,completed,[admin account] (86964315-bacb-4022-bd0a-b88f3fcfdce7),645e8cc0-a67a-c10f-93b4-50e000000000,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,,Team,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,Team,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,5672d4e1-e5bf-4222-8bef-f135acbf3f84,Scoring,,,age_screen,a9b58769-7473-4127-8c39-813c0c3ecf4a,10,"How old are you?<br><br>*Please provide your response as accurately as possible. The information you provide is important for ensuring the accuracy of your results. If you have any concerns about how your information will be used, please refer to our Terms of Service.*",,8.1.8,,,37b24982-d832-4a4b-9a95-e836f9f8bfaf,-480,,,,,,,,,,,
4581ba41-06fc-4a4f-a031-26d0e58425e7,,not scheduled,1733927424409,1733927446808,completed,[admin account] (86964315-bacb-4022-bd0a-b88f3fcfdce7),645e8cc0-a67a-c10f-93b4-50e000000000,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,,Team,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,Team,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,5672d4e1-e5bf-4222-8bef-f135acbf3f84,Scoring,,,Item1,ce9424bd-5fce-4926-96f2-63a2dec27dfe,value: 4,select,"1: 0 (score: 0), 2: 1 (score: 2), 3: 2 (score: 3), 4: 3 (score: 4), 5: 4 (score: 5)",8.1.6,14,,37b24982-d832-4a4b-9a95-e836f9f8bfaf,-480,,10,,10,5,15,,,,,
4581ba41-06fc-4a4f-a031-26d0e58425e7,,not scheduled,1733927424409,1733927446808,completed,[admin account] (86964315-bacb-4022-bd0a-b88f3fcfdce7),645e8cc0-a67a-c10f-93b4-50e000000000,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,,Team,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,Team,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,5672d4e1-e5bf-4222-8bef-f135acbf3f84,Scoring,,,Item2_test,4285ee68-6905-4d9b-be4d-940f3a805027,value: 4,select,"1: 0 (score: 0), 2: 1 (score: 2), 3: 2 (score: 3), 4: 3 (score: 4), 5: 4 (score: 5)",8.1.6,14,,37b24982-d832-4a4b-9a95-e836f9f8bfaf,-480,,,,,,,,,,,
4581ba41-06fc-4a4f-a031-26d0e58425e7,,not scheduled,1733927424409,1733927446808,completed,[admin account] (86964315-bacb-4022-bd0a-b88f3fcfdce7),645e8cc0-a67a-c10f-93b4-50e000000000,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,,Team,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,Team,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,5672d4e1-e5bf-4222-8bef-f135acbf3f84,Scoring,,,gender_screen,5d48d463-5fb7-48a6-8d77-a864e66efa6e,value: 0,"How do you describe yourself?<br><br>*Please provide your response as accurately as possible. The information you provide is important for ensuring the accuracy of your results. If you have any concerns about how your information will be used, please refer to our Terms of Service.*","Male: 0, Female: 1",8.1.6,,,37b24982-d832-4a4b-9a95-e836f9f8bfaf,-480,,,,,,,,,,,
4581ba41-06fc-4a4f-a031-26d0e58425e7,,not scheduled,1733927424409,1733927446808,completed,[admin account] (86964315-bacb-4022-bd0a-b88f3fcfdce7),645e8cc0-a67a-c10f-93b4-50e000000000,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,,Team,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,Team,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,5672d4e1-e5bf-4222-8bef-f135acbf3f84,Scoring,,,age_screen,a9b58769-7473-4127-8c39-813c0c3ecf4a,10,"How old are you?<br><br>*Please provide your response as accurately as possible. The information you provide is important for ensuring the accuracy of your results. If you have any concerns about how your information will be used, please refer to our Terms of Service.*",,8.1.6,,,37b24982-d832-4a4b-9a95-e836f9f8bfaf,-480,,,,,,,,,,,
1833d084-1f11-4654-8182-33eb546a1468,,not scheduled,1733338602569,1733338619397,completed,[admin account] (86964315-bacb-4022-bd0a-b88f3fcfdce7),645e8cc0-a67a-c10f-93b4-50e000000000,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,,Team,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,Team,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,f9b2f4a1-9f0c-4c22-968e-c585155f065e,Complex HBN Recode,,,q2,cd926b89-06a9-4de4-956e-6879d55e2258,value: 0,select,"1: 0 (score: 1), 2: 1 (score: 2), 3: 2 (score: 3), 4: 3 (score: 4)",8.0.3,10,,9119bdbf-e842-4c6c-83a5-f451f37de0ce,-480,,,,,,,1.33,1.33,1.33,,
1833d084-1f11-4654-8182-33eb546a1468,,not scheduled,1733338602569,1733338619397,completed,[admin account] (86964315-bacb-4022-bd0a-b88f3fcfdce7),645e8cc0-a67a-c10f-93b4-50e000000000,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,,Team,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,Team,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,f9b2f4a1-9f0c-4c22-968e-c585155f065e,Complex HBN Recode,,,q4,1b91619e-cf50-4743-b7e6-381a768bb68d,value: 1,select,"1: 0 (score: 1), 2: 1 (score: 2), 3: 2 (score: 3), 4: 3 (score: 4)",8.0.3,10,,9119bdbf-e842-4c6c-83a5-f451f37de0ce,-480,,,,,,,,,,,
1833d084-1f11-4654-8182-33eb546a1468,,not scheduled,1733338602569,1733338619397,completed,[admin account] (86964315-bacb-4022-bd0a-b88f3fcfdce7),645e8cc0-a67a-c10f-93b4-50e000000000,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,,Team,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,Team,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,f9b2f4a1-9f0c-4c22-968e-c585155f065e,Complex HBN Recode,,,q6,4260fed8-d266-4f13-a543-817ca946c47d,value: 1,select,"No: 0 (score: 0), Yes: 1 (score: 1)",8.0.3,1,,9119bdbf-e842-4c6c-83a5-f451f37de0ce,-480,,,,,,,,,,,
1f8c9ddf-f140-47b6-aca1-b9867f300433,,not scheduled,1733327430428,1733327447984,completed,[admin account] (86964315-bacb-4022-bd0a-b88f3fcfdce7),645e8cc0-a67a-c10f-93b4-50e000000000,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,,Team,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,Team,ab64e77e-60b0-4725-8d93-079cceb8fc03,86964315-bacb-4022-bd0a-b88f3fcfdce7,User Nickname,5672d4e1-e5bf-4222-8bef-f135acbf3f84,Scoring,,,Item1,ce9424bd-5fce-4926-96f2-63a2dec27dfe,value: 2,select,"1: 0 (score: 0), 2: 1 (score: 2), 3: 2 (score: 3), 4: 3 (score: 4), 5: 4 (score: 5)",7.0.3,14,,37b24982-d832-4a4b-9a95-e836f9f8bfaf,-480,,,,,2.5,,,,,50,
